"ID","CommitId","Date","Author","LOC_ADD","LOC_REM","Class"
1785,801969,2009-08-07 13:30,markt,0,3,org.apache.catalina.ha.backend.CollectedInfo
1786,801969,2009-08-07 13:30,markt,1,6,org.apache.catalina.ha.backend.HeartbeatListener
1787,801969,2009-08-07 13:30,markt,0,2,org.apache.catalina.ha.backend.TcpSender
1788,801969,2009-08-07 13:30,markt,0,1,org.apache.catalina.session.FileStore
1789,801969,2009-08-07 13:30,markt,0,1,org.apache.catalina.session.StandardManager
1790,801969,2009-08-07 13:30,markt,0,1,org.apache.tomcat.util.net.NioEndpoint
1791,801971,2009-08-07 13:35,markt,2,7,org.apache.coyote.ajp.AjpAprProtocol
1792,802026,2009-08-07 15:49,fhanik,1,1,javax.servlet.AsyncContext
1793,802026,2009-08-07 15:49,fhanik,1,1,javax.servlet.AsyncEvent
1794,802026,2009-08-07 15:49,fhanik,2,7,org.apache.catalina.connector.CoyoteAdapter
1795,802026,2009-08-07 15:49,fhanik,7,7,org.apache.catalina.connector.Request
1796,802026,2009-08-07 15:49,fhanik,0,1,org.apache.catalina.core.StandardWrapperValve
1797,802032,2009-08-07 15:58,fhanik,2,4,org.apache.catalina.connector.Request
1798,802032,2009-08-07 15:58,fhanik,4,10,org.apache.catalina.core.AsyncContextImpl
1799,802064,2009-08-07 17:10,markt,20,4,org.apache.catalina.core.ApplicationContext
1800,802146,2009-08-07 20:15,markt,10,48,org.apache.catalina.connector.Request
1801,802146,2009-08-07 20:15,markt,2,1,org.apache.catalina.core.ApplicationContext
1802,802146,2009-08-07 20:15,markt,14,22,org.apache.catalina.ha.session.JvmRouteBinderValve
1803,802147,2009-08-07 20:17,markt,0,1,org.apache.catalina.connector.CoyoteAdapter
1804,802147,2009-08-07 20:17,markt,1,2,org.apache.catalina.connector.Request
1805,802150,2009-08-07 20:18,markt,0,2,javax.servlet.AsyncContext
1806,802151,2009-08-07 20:19,markt,1,2,org.apache.catalina.core.AsyncListenerWrapper
1807,802719,2009-08-10 11:14,markt,1,1,org.apache.catalina.util.Enumerator
1808,802727,2009-08-10 11:28,markt,81,6,org.apache.catalina.core.ApplicationFilterConfig
1809,802729,2009-08-10 11:34,markt,1,5,org.apache.catalina.mbeans.JmxRemoteLifecycleListener
1810,802882,2009-08-10 19:23,markt,26,5,org.apache.catalina.filters.RemoteAddrFilter
1811,802882,2009-08-10 19:23,markt,26,4,org.apache.catalina.filters.RemoteHostFilter
1812,802882,2009-08-10 19:23,markt,51,22,org.apache.catalina.filters.RequestFilter
1813,802940,2009-08-10 23:01,markt,2,1,org.apache.catalina.startup.ContextConfig
1814,803527,2009-08-12 15:14,markt,0,39,org.apache.catalina.startup.ExpandWar
1815,804057,2009-08-14 00:10,fhanik,1,1,org.apache.catalina.ha.session.DeltaSession
1816,804461,2009-08-15 13:06,markt,1,12,org.apache.naming.resources.FileDirContext
1817,804462,2009-08-15 13:07,markt,58,45,org.apache.catalina.loader.WebappLoader
1818,804495,2009-08-15 18:40,markt,48,44,org.apache.catalina.valves.ExtendedAccessLogValve
1819,804544,2009-08-16 02:55,kkolinko,2,1,org.apache.catalina.loader.WebappLoader
1820,804725,2009-08-16 18:28,markt,2,2,org.apache.catalina.realm.JAASRealm
1821,804734,2009-08-16 19:05,markt,1,1,org.apache.jasper.compiler.ScriptingVariabler
1822,805153,2009-08-17 22:40,markt,1,1,org.apache.naming.resources.WARDirContext
1823,805182,2009-08-17 23:20,markt,2,4,org.apache.catalina.loader.WebappClassLoader
1824,805321,2009-08-18 09:29,markt,7,37,org.apache.catalina.filters.FilterBase
1825,805321,2009-08-18 09:29,markt,1,8,org.apache.catalina.filters.RequestFilter
1826,805375,2009-08-18 12:49,markt,0,24,org.apache.catalina.mbeans.MBeanFactory
1827,807284,2009-08-24 16:33,fhanik,56,369,org.apache.tomcat.util.net.AprEndpoint
1828,807284,2009-08-24 16:33,fhanik,56,312,org.apache.tomcat.util.net.JIoEndpoint
1829,807284,2009-08-24 16:33,fhanik,16,34,org.apache.tomcat.util.net.NioEndpoint
1830,807324,2009-08-24 19:06,fhanik,0,9,org.apache.coyote.http11.Http11NioProtocol
1831,807324,2009-08-24 19:06,fhanik,318,0,org.apache.tomcat.util.net.AbstractEndpoint
1832,807324,2009-08-24 19:06,fhanik,27,317,org.apache.tomcat.util.net.AprEndpoint
1833,807324,2009-08-24 19:06,fhanik,12,257,org.apache.tomcat.util.net.JIoEndpoint
1834,807324,2009-08-24 19:06,fhanik,25,273,org.apache.tomcat.util.net.NioEndpoint
1835,807358,2009-08-24 20:58,fhanik,29,2,org.apache.catalina.core.StandardThreadExecutor
1836,809131,2009-08-29 14:24,markt,11,11,org.apache.jasper.compiler.Generator
1837,809596,2009-08-31 14:59,funkman,30,0,org.apache.tomcat.util.http.mapper.Mapper
1838,809603,2009-08-31 15:17,funkman,2,0,org.apache.catalina.manager.ManagerServlet
1839,812107,2009-09-07 13:26,markt,1,0,org.apache.catalina.loader.WebappClassLoader
1840,812114,2009-09-07 13:39,markt,2,0,org.apache.catalina.realm.JNDIRealm
1841,812125,2009-09-07 14:24,markt,7,7,org.apache.catalina.core.ApplicationFilterConfig
1842,812210,2009-09-07 16:54,markt,27,2,org.apache.catalina.startup.Tomcat
1843,812295,2009-09-07 23:16,markt,0,2,org.apache.catalina.security.SecurityClassLoad
1844,812432,2009-09-08 11:24,markt,7,22,org.apache.catalina.loader.JdbcLeakPrevention
1845,812432,2009-09-08 11:24,markt,11,6,org.apache.catalina.loader.WebappClassLoader
1846,813013,2009-09-09 17:01,markt,4,3,org.apache.catalina.util.ExtensionValidator
1847,813771,2009-09-11 11:47,markt,26,9,org.apache.catalina.deploy.ContextService
1848,813771,2009-09-11 11:47,markt,6,4,org.apache.catalina.startup.WebRuleSet
1849,813772,2009-09-11 11:48,markt,0,3,org.apache.catalina.startup.WebRuleSet
1850,813815,2009-09-11 13:50,markt,1,1,org.apache.jasper.compiler.JspConfig
1851,814024,2009-09-11 21:51,rjung,1,1,org.apache.catalina.ha.session.DeltaManager
1852,814178,2009-09-12 17:08,markt,1,1,org.apache.catalina.startup.Bootstrap
